Tempo inicial:  1620763193.885038
E 162.17257690429688 68.9184398651123 11.319924592971802
D 60.36960220336914 70.4939546585083 11.324934482574463
E 161.22721672058105 65.5730333328247 11.426332235336304
D 59.54629707336426 68.18703746795654 11.429073095321655
E 162.4333324432373 63.95862102508545 11.534998893737793
D 60.42194175720215 68.57805919647217 11.536685228347778
E 161.2643280029297 63.99064350128174 11.643721103668213
D 58.955326080322266 68.16322994232178 11.646029710769653
E 161.34993171691895 65.86030387878418 11.754641056060791
D 59.663461685180664 68.85737133026123 11.756600856781006
E 165.60178184509277 67.10305309295654 11.864039421081543
D 63.847517013549805 69.20035457611084 11.865942239761353
E 160.84104347229004 66.14234828948975 11.987926483154297
D 59.321319580078125 68.51201248168945 11.990220308303833
D 39.942307472229004 65.87179470062256 11.991492509841919
E 162.45098114013672 63.704482078552246 12.079061508178711
D 60.779300689697266 66.28614902496338 12.081048488616943
E 165.44310569763184 64.10441780090332 12.194493055343628
D 63.59729194641113 67.83925533294678 12.196442127227783
E 164.44871711730957 71.48717975616455 12.301480770111084
D 63.138614654541016 72.6666669845581 12.303250312805176
E 162.90399932861328 66.38133335113525 12.417234659194946
D 61.16129112243652 68.17972373962402 12.41900634765625
E 161.7097282409668 64.41626834869385 12.522461175918579
D 59.54597854614258 65.8026819229126 12.52446961402893
E 165.0224723815918 67.45068645477295 12.633390188217163
D 63.19288444519043 68.82209777832031 12.63540267944336
E 162.08550643920898 65.25942039489746 12.74807095527649
E 162.4743595123291 66.85327625274658 12.856009721755981
D 61.50526237487793 69.7491226196289 12.85775375366211
E 161.54013633728027 63.604082107543945 12.965714693069458
D 59.31907272338867 66.0873441696167 12.967786312103271
E 159.6957664489746 65.6547622680664 13.07987356185913
D 57.69767379760742 68.03255844116211 13.081947088241577
D 60.89871025085449 70.1712703704834 13.185739040374756
E 162.6953239440918 69.2096529006958 13.1878662109375
E 160.83834075927734 64.08583736419678 13.294902086257935
D 59.29213523864746 64.5355806350708 13.296610832214355
D 61.033708572387695 67.513108253479 13.403470516204834
E 162.33805084228516 67.39779853820801 13.405518054962158
E 162.67259216308594 65.23407363891602 13.511578559875488
D 60.95075798034668 65.19128799438477 13.513344764709473
E 160.35284614562988 63.67642307281494 13.621824979782104
D 58.12574768066406 63.82834339141846 13.623624086380005
E 159.74728775024414 66.5410852432251 13.729259252548218
D 58.68484878540039 66.34747505187988 13.731039762496948
E 159.88736724853516 64.80213069915771 13.844546794891357
D 58.80656433105469 63.50777244567871 13.84631896018982
E 159.02015495300293 62.59224796295166 13.952950477600098
D 57.030595779418945 62.80032253265381 13.954744100570679
D 60.84294891357422 66.77243614196777 14.069459438323975
E 162.3826084136963 66.70724678039551 14.071170091629028
E 160.00968170166016 63.655601501464844 14.168484687805176
D 60.119930267333984 63.58201026916504 14.279078245162964
E 159.36929512023926 67.16182613372803 14.389852523803711
D 58.147727966308594 67.33143901824951 14.391638040542603
D 58.61793327331543 65.81481456756592 14.503379344940186
E 160.7111110687256 65.1666669845581 14.505392789840698
E 162.3207550048828 63.304402351379395 14.617662906646729
E 164.08217239379883 64.83410835266113 14.725270509719849
D 62.60000038146973 65.15303039550781 14.727129936218262
E 161.34739875793457 60.632911682128906 14.832643270492554
D 59.135658264160156 61.087209701538086 14.8346426486969
E 161.2340431213379 64.7464542388916 14.94983696937561
D 59.13737487792969 65.23030281066895 14.951971530914307
E 162.99081420898438 66.61548519134521 15.056165218353271
D 61.18242073059082 67.78772830963135 15.058300256729126
E 159.20148086547852 64.63555526733398 15.1630699634552
D 57.89629554748535 64.82592582702637 15.165625095367432
E 160.84127044677734 66.13888931274414 15.275415182113647
D 59.36286926269531 68.18776416778564 15.277356386184692
E 160.1993236541748 63.41328811645508 15.383570194244385
E 162.39324188232422 65.97695827484131 15.499611616134644
D 59.9139289855957 65.49139308929443 15.501482009887695
E 160.22176361083984 64.62121200561523 15.61678433418274
D 58.64361572265625 66.06028366088867 15.619037389755249
E 161.3346767425537 63.82930088043213 15.727774143218994
D 58.96731948852539 64.78758144378662 15.732852458953857
D 63.33143997192383 68.35984802246094 15.825182676315308
E 158.1536636352539 65.98818016052246 17.135524034500122
D 102.79342651367188 88.66979598999023 19.560240030288696
D 83.07666778564453 65.76000022888184 21.102364778518677
D 83.06432723999023 70.16958999633789 21.210488319396973
D 86.21985626220703 67.40425491333008 21.31984257698059
D 80.56177139282227 64.7296028137207 21.435463428497314
E 172.49352645874023 74.20873832702637 21.437262535095215
E 170.7688980102539 72.26853942871094 21.548068284988403
D 80.36666488647461 72.1862735748291 21.662819623947144
D 75.05555725097656 67.55555534362793 21.76625370979309
D 72.13333511352539 63.74202919006348 21.87525963783264
E 154.8858184814453 58.88213539123535 22.31217074394226
D 55.06536102294922 58.06862831115723 22.314009189605713
E 157.07355308532715 63.15492916107178 22.42166566848755
D 58.24055099487305 58.73883247375488 22.423704385757446
E 160.4782600402832 65.35072422027588 22.539039850234985
D 60.16233825683594 68.6363639831543 22.54082417488098
E 159.27666664123535 66.59833335876465 22.646093606948853
D 60.287546157836914 67.71794891357422 22.647796392440796
E 160.75362396240234 65.5811595916748 22.75855040550232
D 61.425926208496094 66.17676734924316 22.760957956314087
D 60.165775299072266 69.06060600280762 22.869845151901245
E 159.8772735595703 65.58939361572266 22.872700691223145
E 160.33877563476562 64.33741474151611 22.976073741912842
