Olho| Deslocamento| Tempo(s)
E 196.32393155498576 138.78722858428955
E 195.46179244679522 138.787291765213
D 101.58931914740674 138.8961923122406
D 101.82032381847883 138.89629817008972
E 196.73833808123425 138.8976137638092
E 195.94594379179023 138.89770770072937
D 98.20034269719027 138.9986219406128
D 98.87135307575986 138.9987292289734
E 195.8109751527161 139.00045919418335
D 93.77368635386641 139.11040997505188
E 195.99656452612203 139.11149954795837
E 193.92256485153374 139.22877979278564
E 193.69213775834348 139.22886776924133
D 97.59319620350661 139.23010683059692
D 103.56478327082021 139.33274865150452
E 200.8878288566207 139.33409762382507
E 183.2905514619328 139.9829068183899
E 180.23891967549454 140.5356891155243
E 183.46196558181217 140.64906787872314
E 186.3709461399384 140.8610155582428
E 184.54102224664905 140.97254538536072
E 188.75709312052138 141.63707065582275
E 180.39926974021157 141.747385263443
E 183.19507659738318 141.9706199169159
E 188.5163407393681 142.52315616607666
E 198.1064954059298 142.84800553321838
E 197.69932527183957 142.8480830192566
E 190.81890426842995 142.95710396766663
E 194.1472805478146 143.1788206100464
E 193.9782517623628 143.17892050743103
E 190.34651633259236 143.2900207042694
E 199.18148548349552 143.42105841636658
E 193.02839706825944 143.61878180503845
E 195.89629506307995 143.8409686088562
E 192.17878950593942 143.9469072818756
E 194.28926515041795 144.06672549247742
E 191.9853232461418 144.17206120491028
E 191.81212118601718 144.17213773727417
E 184.70792882764695 144.50194191932678
E 188.2591042411509 144.5020682811737
E 183.11119144710463 144.6128532886505
E 179.59072576425322 144.7187259197235
E 187.0112382634611 144.83369827270508
E 180.74406450373266 144.94503808021545
E 181.12628676896162 144.94512557983398
E 185.1610831843625 145.0489776134491
E 186.1684230314919 145.15953755378723
E 188.95594707577715 145.1596131324768
E 192.9261295217022 145.2703034877777
E 189.44881600232117 145.38312649726868
E 193.7365179587211 145.48854637145996
E 192.2092378101108 145.71334195137024
E 193.28737687051026 145.8258454799652
E 191.37290115451552 146.04048538208008
E 191.30726378874337 146.3722586631775
E 188.27443860868027 146.47691702842712
E 187.71155372573307 146.58848476409912
E 187.04914427807205 146.70049118995667
E 187.34913107122773 146.7005696296692
E 188.77844577299365 146.92438316345215
E 187.85298032019983 147.03484845161438
E 185.7842981315268 147.14524054527283
E 187.93996423759737 147.1453104019165
E 190.59896175472787 147.2557601928711
E 190.19552730540937 147.25585770606995
E 184.9897651977059 147.36801743507385
E 187.69007814768867 147.58534407615662
E 187.22461377825044 147.58543586730957
D 96.13493718293259 147.6901080608368
D 91.16645504070233 147.8141734600067
E 187.84623207907867 147.81564569473267
E 187.9384664548008 147.81575393676758
D 89.3509406063165 147.91854238510132
D 89.6289768519071 147.91862320899963
E 186.39289205127042 147.91980600357056
E 186.29287353111508 147.91993141174316
D 89.1068539691743 148.02100920677185
D 89.60274897528078 148.02107954025269
E 185.6162371129249 148.02215099334717
E 185.61268013477596 148.02221155166626
D 93.7978988090463 148.1373529434204
D 93.78778926373515 148.13744926452637
E 188.56153112548205 148.13867020606995
E 189.06972761497994 148.13874673843384
D 90.49322920815504 148.24196887016296
D 90.67433639829906 148.2420392036438
E 187.89981061085314 148.24309611320496
E 187.46053957326941 148.2431571483612
D 94.69809554179376 148.35257077217102
D 95.47537211781653 148.35266518592834
E 190.58457356726663 148.35390520095825
E 189.97548466741952 148.3539958000183
D 90.24251317737745 148.46329808235168
D 90.68622746276365 148.463397026062
E 188.5356635462029 148.46497416496277
E 188.09072646072656 148.46505641937256
E 187.30369635906186 148.57730913162231
D 91.44272958392665 148.57860779762268
D 91.62600712592594 148.57870054244995
E 188.53030644714363 148.69419240951538
D 91.50995974776737 148.69543957710266
D 91.59045914162304 148.69552636146545
E 198.10912260731118 148.80509090423584
E 195.3868493312134 148.80520462989807
D 98.66996864486065 148.80652499198914
D 92.69980836455485 148.91094064712524
